city,height_model,dimension,bucket,n_views,n_sites,n_projected,px_p50,px_p90,abs_dx_px_p50,abs_dx_px_p90,abs_dy_px_p50,abs_dy_px_p90,dist_m_p50,dist_m_p90,along_m_median,abs_along_m_p50,abs_along_m_p90,abs_cross_m_p50,abs_cross_m_p90
paterson,per-pano,range_m,18-25,3716,2774,3716,4.338,9.491,3.365,9.06,1.683,4.111,2.005,4.781,0.638,1.858,4.725,0.414,1.08
paterson,per-pano,source,launch,23198,5030,23198,7.328,21.913,5.712,20.61,2.892,8.309,1.296,3.19,-0.568,1.05,3.048,0.42,1.162
paterson,per-pano,delta_months,0,14817,5030,14817,7.23,21.741,5.725,20.649,2.81,7.813,1.288,3.282,-0.546,1.042,3.13,0.416,1.157
paterson,per-pano,delta_months,1-18,3778,1997,3778,6.869,20.73,5.126,18.965,2.835,8.811,1.279,3.078,-0.521,1.053,2.961,0.403,1.104
paterson,per-pano,delta_months,19-36,352,224,352,7.274,20.698,5.353,19.393,2.975,9.173,1.335,3.01,-0.814,1.075,2.876,0.405,1.116
paterson,per-pano,delta_months,>36,4251,2248,4251,7.978,23.701,6.276,21.785,3.227,9.639,1.339,3.037,-0.643,1.064,2.897,0.448,1.258
paterson,per-pano,n_views,3,3483,1161,3483,9.313,28.812,7.483,27.558,3.162,9.233,1.328,3.238,-0.441,0.976,2.954,0.508,1.528
paterson,per-pano,n_views,4-5,12092,2691,12092,7.526,22.432,5.846,21.052,2.929,8.612,1.277,3.082,-0.581,1.023,2.951,0.417,1.16
paterson,per-pano,n_views,6+,7623,1178,7623,6.438,17.391,4.942,16.053,2.699,7.492,1.315,3.34,-0.612,1.129,3.259,0.391,1.005
gainesville,2.6m,range_m,0-8,1418,1138,1418,19.65,50.917,15.407,47.015,7.472,21.042,1.164,2.489,0.276,0.797,2.029,0.54,1.585
gainesville,2.6m,range_m,8-12,2844,1709,2844,12.387,30.623,9.515,28.773,4.763,12.624,1.612,3.113,0.856,1.247,2.845,0.567,1.599
gainesville,2.6m,range_m,12-18,2019,1397,2019,8.23,19.944,6.516,19.258,3.421,7.989,2.158,3.896,1.354,1.889,3.665,0.554,1.677
gainesville,2.6m,range_m,18-25,2364,1442,2364,6.537,14.623,4.869,13.989,2.606,6.364,2.935,5.438,2.295,2.697,5.356,0.571,1.66
gainesville,2.6m,source,launch,8645,2057,8645,9.803,28.337,7.562,26.344,3.876,11.419,1.9,4.113,1.058,1.552,3.944,0.561,1.634
gainesville,2.6m,delta_months,0,5942,2057,5942,10.193,29.175,7.696,26.9,4.28,12.062,2.052,4.295,1.429,1.715,4.147,0.572,1.671
gainesville,2.6m,delta_months,1-18,1567,649,1567,8.341,25.046,6.648,23.823,2.953,8.806,1.657,3.888,0.512,1.295,3.682,0.524,1.575
gainesville,2.6m,delta_months,19-36,547,362,547,8.758,27.137,7.255,26.564,3.089,9.009,1.454,3.419,0.41,1.079,3.239,0.545,1.572
gainesville,2.6m,delta_months,>36,589,397,589,10.325,32.124,8.691,29.459,3.752,11.835,1.497,3.369,-0.371,1.141,3.137,0.569,1.481
gainesville,2.6m,n_views,3,2619,873,2619,12.645,37.063,10.152,35.359,4.264,12.593,2.072,4.052,1.065,1.552,3.727,0.71,2.053
gainesville,2.6m,n_views,4-5,3769,866,3769,9.775,26.922,7.582,25.456,3.839,11.194,1.861,4.146,1.081,1.548,4.001,0.567,1.53
gainesville,2.6m,n_views,6+,2257,318,2257,7.939,19.839,5.55,16.998,3.526,10.241,1.744,4.212,0.976,1.552,4.152,0.435,1.214
gainesville,per-pano,range_m,0-8,2970,1931,2970,14.555,37.591,10.959,35.491,6.344,14.831,1.078,2.391,-0.701,0.803,2.077,0.447,1.291
gainesville,per-pano,range_m,8-12,3388,2010,3388,8.151,20.247,6.575,19.206,3.201,7.374,1.303,3.011,-0.672,1.056,2.822,0.428,1.225
gainesville,per-pano,range_m,12-18,3261,1923,3261,5.711,14.314,4.566,13.922,2.181,4.917,1.725,3.752,-0.499,1.51,3.636,0.429,1.268
gainesville,per-pano,range_m,18-25,1559,1096,1559,4.806,11.058,3.671,10.756,1.935,4.673,2.502,5.437,1.431,2.314,5.303,0.446,1.292
gainesville,per-pano,source,launch,11178,2486,11178,7.737,23.115,6.025,21.39,3.023,8.969,1.454,3.542,-0.53,1.183,3.386,0.434,1.267
gainesville,per-pano,delta_months,0,8036,2486,8036,7.85,23.329,6.208,21.586,3.046,8.935,1.479,3.556,-0.584,1.199,3.376,0.44,1.274
gainesville,per-pano,delta_months,1-18,1910,777,1910,7.021,21.289,5.282,19.994,2.821,7.869,1.417,3.565,-0.175,1.17,3.475,0.404,1.233
gainesville,per-pano,delta_months,19-36,597,396,597,7.29,21.847,5.422,19.186,2.904,9.142,1.286,3.413,-0.595,1.017,3.247,0.413,1.215
gainesville,per-pano,delta_months,>36,635,435,635,9.185,26.137,6.769,23.43,4.146,11.678,1.442,3.44,-0.685,1.169,3.362,0.481,1.365
gainesville,per-pano,n_views,3,2514,838,2514,9.775,30.494,7.978,28.763,3.533,10.381,1.52,3.432,-0.55,1.153,3.142,0.529,1.613
gainesville,per-pano,n_views,4-5,4891,1117,4891,7.887,23.127,6.226,21.695,3.021,9.126,1.421,3.429,-0.536,1.148,3.278,0.44,1.247
gainesville,per-pano,n_views,6+,3773,531,3773,6.65,17.929,4.899,16.483,2.811,7.794,1.453,3.743,-0.513,1.263,3.647,0.383,1.077
sao_paulo,2.6m,range_m,0-8,2631,1635,2631,14.276,37.906,12.151,35.826,4.281,13.871,0.791,1.863,-0.054,0.457,1.416,0.447,1.303
sao_paulo,2.6m,range_m,8-12,4218,2073,4218,7.847,20.092,6.022,19.174,3.066,7.803,1.057,2.523,-0.216,0.809,2.244,0.383,1.194
sao_paulo,2.6m,range_m,12-18,2752,1704,2752,5.855,15.393,4.531,14.951,2.163,5.32,1.502,3.29,-0.17,1.221,3.109,0.43,1.434
sao_paulo,2.6m,range_m,18-25,2661,1626,2661,5.223,12.802,4.097,12.434,1.963,4.826,2.314,4.561,1.213,2.076,4.454,0.518,1.563
sao_paulo,2.6m,source,launch,12262,2371,12262,7.356,22.702,5.836,21.294,2.718,7.778,1.242,3.295,-0.003,0.936,3.083,0.432,1.348
sao_paulo,2.6m,delta_months,0,6601,2371,6601,7.409,22.857,5.979,21.615,2.765,7.873,1.258,3.344,0.012,0.944,3.147,0.438,1.337
sao_paulo,2.6m,delta_months,1-18,4395,1698,4395,6.973,21.602,5.479,19.924,2.602,7.164,1.206,3.241,-0.005,0.922,3.012,0.413,1.331
sao_paulo,2.6m,delta_months,19-36,654,405,654,8.094,24.887,6.556,22.653,2.664,8.816,1.217,3.022,0.182,0.871,2.791,0.458,1.412
sao_paulo,2.6m,delta_months,>36,612,360,612,8.672,25.19,7.099,23.867,3.197,9.816,1.366,3.365,-0.318,0.996,3.118,0.51,1.433
sao_paulo,2.6m,n_views,3,1782,594,1782,8.71,26.566,7.324,25.334,2.881,8.492,1.446,3.533,0.169,1.02,3.209,0.534,1.667
sao_paulo,2.6m,n_views,4-5,4260,966,4260,8.223,25.024,6.644,23.809,2.849,8.449,1.307,3.272,0.017,0.951,3.012,0.482,1.478
sao_paulo,2.6m,n_views,6+,6220,811,6220,6.579,19.469,5.001,18.307,2.576,7.028,1.163,3.232,-0.066,0.902,3.083,0.38,1.157
sao_paulo,per-pano,range_m,0-8,3203,1837,3203,16.436,42.736,13.478,40.91,6.502,14.965,1.062,2.385,-0.459,0.686,1.924,0.536,1.486
sao_paulo,per-pano,range_m,8-12,3551,1935,3551,9.374,22.607,7.453,21.738,3.822,8.473,1.335,2.919,-0.664,1.036,2.672,0.478,1.398
sao_paulo,per-pano,range_m,12-18,2973,1778,2973,6.443,15.903,5.042,15.308,2.54,5.454,1.779,3.624,-0.901,1.494,3.483,0.488,1.443
sao_paulo,per-pano,range_m,18-25,2087,1421,2087,4.955,12.281,4.087,12.046,1.77,4.24,2.042,4.426,0.374,1.786,4.267,0.488,1.451
