city,height_model,ref_group,variant,n_refs,n_box_vs_peak,box_vs_peak_px_p50,box_minus_peak_dy_px_median,px_p50,px_p90,abs_dx_px_p50,abs_dy_px_p50,dy_px_median,dist_m_p50,dist_m_p90,along_m_median
ALL_PER_PANO_CITIES,per-pano,box,full,189,154,4.422,-1.444,8.438,28.793,7.06,2.591,-0.031,1.249,2.922,0.048
ALL_PER_PANO_CITIES,per-pano,box,loo,180,145,4.639,-1.395,11.299,37.556,10.163,3.069,0.662,1.534,3.174,-0.069
ALL_PER_PANO_CITIES,per-pano,box,full_on_loo_rows,180,145,4.639,-1.395,9.042,28.793,8.246,2.591,0.057,1.272,2.922,-0.024
ALL_PER_PANO_CITIES,per-pano,missed,full,191,0,,,6.434,28.812,5.226,2.289,1.745,1.765,4.021,-0.701
ALL_PER_PANO_CITIES,per-pano,missed,loo,191,0,,,6.434,28.812,5.226,2.289,1.745,1.765,4.021,-0.701
ALL_PER_PANO_CITIES,per-pano,missed,full_on_loo_rows,191,0,,,6.434,28.812,5.226,2.289,1.745,1.765,4.021,-0.701
ALL_PER_PANO_CITIES,per-pano,peak,full,693,0,,,5.657,15.0,4.108,2.381,1.178,0.887,2.604,-0.308
ALL_PER_PANO_CITIES,per-pano,peak,loo,649,0,,,8.088,24.46,6.28,3.11,2.039,1.279,3.186,-0.528
ALL_PER_PANO_CITIES,per-pano,peak,full_on_loo_rows,649,0,,,5.878,15.373,4.397,2.551,1.547,0.951,2.685,-0.39
ALL_PER_PANO_CITIES,per-pano,box_on_detection,full,154,154,4.422,-1.444,8.355,25.757,5.283,2.432,-0.031,1.07,2.358,0.042
ALL_PER_PANO_CITIES,per-pano,box_on_detection,loo,145,145,4.639,-1.395,11.422,33.963,10.207,3.146,0.888,1.342,2.792,-0.069
ALL_PER_PANO_CITIES,per-pano,box_on_detection,full_on_loo_rows,145,145,4.639,-1.395,8.954,25.818,7.727,2.432,0.067,1.119,2.335,-0.024
