frame,direction,tier,height,radius,scope,k,n,rate
world,"AI on NoCurbRamp, no CurbRamp",0.55,2.6 m,5.0,full regions,21,5788,0.0036
world,crowd->AI sites,0.55,2.6 m,7.5,all in scope,3416,4454,0.767
world,crowd->AI sites,0.55,2.6 m,7.5,full regions,3255,4253,0.7653
world,crowd->AI union,0.55,2.6 m,7.5,all in scope,4069,4454,0.9136
world,AI->crowd one-to-one,0.55,2.6 m,7.5,full regions,3191,5788,0.5513
world,AI->crowd any,0.55,2.6 m,7.5,full regions,4282,5788,0.7398
world,AI on NoCurbRamp,0.55,2.6 m,7.5,full regions,34,5788,0.0059
world,"AI on NoCurbRamp, no CurbRamp",0.55,2.6 m,7.5,full regions,22,5788,0.0038
world,crowd->AI sites,0.55,per-pano,2.5,all in scope,2531,4454,0.5683
world,crowd->AI sites,0.55,per-pano,2.5,full regions,2419,4253,0.5688
world,crowd->AI union,0.55,per-pano,2.5,all in scope,3482,4454,0.7818
world,AI->crowd one-to-one,0.55,per-pano,2.5,full regions,2376,4744,0.5008
world,AI->crowd any,0.55,per-pano,2.5,full regions,2452,4744,0.5169
world,AI on NoCurbRamp,0.55,per-pano,2.5,full regions,13,4744,0.0027
world,"AI on NoCurbRamp, no CurbRamp",0.55,per-pano,2.5,full regions,13,4744,0.0027
world,crowd->AI sites,0.55,per-pano,5.0,all in scope,3141,4454,0.7052
world,crowd->AI sites,0.55,per-pano,5.0,full regions,2989,4253,0.7028
world,crowd->AI union,0.55,per-pano,5.0,all in scope,3965,4454,0.8902
world,AI->crowd one-to-one,0.55,per-pano,5.0,full regions,2922,4744,0.6159
world,AI->crowd any,0.55,per-pano,5.0,full regions,3224,4744,0.6796
world,AI on NoCurbRamp,0.55,per-pano,5.0,full regions,24,4744,0.0051
world,"AI on NoCurbRamp, no CurbRamp",0.55,per-pano,5.0,full regions,19,4744,0.004
world,crowd->AI sites,0.55,per-pano,7.5,all in scope,3270,4454,0.7342
world,crowd->AI sites,0.55,per-pano,7.5,full regions,3108,4253,0.7308
world,crowd->AI union,0.55,per-pano,7.5,all in scope,4092,4454,0.9187
world,AI->crowd one-to-one,0.55,per-pano,7.5,full regions,3041,4744,0.641
world,AI->crowd any,0.55,per-pano,7.5,full regions,3517,4744,0.7414
world,AI on NoCurbRamp,0.55,per-pano,7.5,full regions,35,4744,0.0074
world,"AI on NoCurbRamp, no CurbRamp",0.55,per-pano,7.5,full regions,20,4744,0.0042
