city,results,group,h_true,noise_scale,offset_px,seed,a_panos,a_sites,h_star_a,a_slope,b_views_2p6,b_2p6,b_2p6_null_sd_m,b_2p6_offset,b_2p6_raw,h_star_b,b_slope,b_amplification,h_star_b_lo,h_star_b_hi,h_star_b_local,h_star_b_local_extrapolated,gap_raw,gap_fixed,gap_local,a_err,b_2p6_err,b_fixed_err,b_local_err,b_at_1.4,b_at_1.6,b_at_1.8,b_at_2,b_at_2.3,b_at_2.6,b_at_3,b_raw_at_1.4,b_raw_at_1.6,b_raw_at_1.8,b_raw_at_2,b_raw_at_2.3,b_raw_at_2.6,b_raw_at_3,implied_at_1.4,implied_at_1.6,implied_at_1.8,implied_at_2,implied_at_2.3,implied_at_2.6,implied_at_3,n_dets_in,n_dets_out,n_no_site,n_unprojectable,n_on_rig
laurens,results.jsonl,gopro/max,2.6,0.5,0.0,0,639,213,2.6448,0.3833,1328,2.7031,0.0228,2.8523,2.5578,2.8325,0.6996,3.3288,2.77,2.9083,2.7476,False,0.0583,0.1877,0.1028,0.0448,0.1031,0.2325,0.1476,1.7303,1.9206,2.1445,2.3483,2.57,2.7031,2.8237,1.6545,1.8413,2.0606,2.2583,2.4551,2.5578,2.6679,2.0968,2.2173,2.3523,2.4691,2.568,2.6367,2.7117,5727,3370,2357,0,13
laurens,results.jsonl,gopro/max,2.6,0.5,0.0,1,637,215,2.6005,0.3767,1332,2.6885,0.0127,2.7997,2.564,2.8402,0.7085,3.43,2.7723,2.9214,2.7435,False,0.088,0.2397,0.143,0.0005,0.0885,0.2402,0.1435,1.7193,1.9126,2.1441,2.3504,2.5539,2.6885,2.8417,1.6432,1.8261,2.067,2.2538,2.436,2.564,2.6765,2.0529,2.2056,2.3566,2.4498,2.535,2.5998,2.6841,5727,3370,2357,0,14
laurens,results.jsonl,gopro/max,3.0,0.5,0.0,0,647,213,3.2606,0.5073,1362,2.9018,0.0239,3.0267,2.8099,4.2119,0.8496,6.6498,3.861,4.7608,3.1587,True,-0.3588,0.9513,-0.1019,0.2606,-0.0982,1.2119,0.1587,1.7913,1.968,2.1406,2.3561,2.6796,2.9018,3.0857,1.7345,1.9016,2.0727,2.2853,2.5923,2.8099,2.9637,2.2489,2.4064,2.5266,2.6675,2.8555,2.9563,3.0413,5727,3370,2357,0,20
laurens,results.jsonl,gopro/max,3.0,0.5,0.0,1,644,223,3.1679,0.4921,1339,2.913,0.023,3.0257,2.805,4.6889,0.8793,8.2839,4.1553,5.6725,3.1954,True,-0.2548,1.521,0.0275,0.1679,-0.087,1.6889,0.1954,1.7691,1.9356,2.121,2.3664,2.6798,2.913,3.1027,1.7049,1.8578,2.0545,2.2792,2.5916,2.805,2.9648,2.2306,2.3571,2.5059,2.6745,2.8205,2.9193,2.9889,5727,3370,2357,0,23
laurens,results.jsonl,gopro/max,3.4,0.5,0.0,0,638,217,4.2673,0.6407,1366,3.0017,0.0213,3.1395,2.9356,9.0229,0.942,17.2379,6.3483,24.9022,4.8828,True,-1.2656,4.7556,0.6155,0.8673,-0.3983,5.6229,1.4828,1.8562,2.0406,2.1936,2.3715,2.7163,3.0017,3.3313,1.8054,1.9842,2.1378,2.3135,2.6527,2.9356,3.2331,2.3858,2.5492,2.7031,2.83,3.0598,3.2296,3.3941,5727,3370,2357,0,34
laurens,results.jsonl,gopro/max,3.4,0.5,0.0,1,636,220,4.0768,0.6207,1327,3.0215,0.0229,3.1497,2.9395,9.8409,0.9518,20.7573,6.5729,35.7756,3.9408,True,-1.0553,5.7641,-0.136,0.6768,-0.3785,6.4409,0.5408,1.8411,2.0106,2.1281,2.3353,2.6782,3.0215,3.2957,1.7956,1.9447,2.0728,2.2675,2.6137,2.9395,3.2055,2.3635,2.5311,2.6573,2.8116,3.0673,3.1941,3.3244,5727,3370,2357,0,33
