city,make,model,n_panos,tilt_p50,tilt_p90,tilt_max,pitch_p50,roll_p50,n_sequences
richmond,NCTECH LTD,iSTAR Pulsar,4809,2.3525432685815093,4.899138922116978,28.548154148000155,-1.064449594144704,1.0838857201798404,325
richmond,GoPro,GoPro Max,3318,7.550142847466581,17.468409005436335,51.07767839876331,-0.00010553807908209693,0.1824014026619601,15
richmond,none,none,960,4.706705256261095,6.935289245112264,14.090761309021362,-4.559843087134582,0.005452364687704591,15
richmond,Arashi Vision,insta360 x4,4,1.2392741016047801,1.4402710237356173,1.4402710237356173,1.1975908444731092,0.6133882528214641,3
clovis,GoPro,GoPro Fusion FS1.04.01.80.00,40096,2.761300078832679,4.550855005692369,157.10920410365446,-1.3708583847895948,0.15523695726681697,250
clovis,GoPro,Fusion,32680,3.5216888366071024,6.5102610657779,169.7660006775229,-3.1438018209755816,-0.6852151503940034,264
morgantown,GoPro,GoPro Max,51692,3.2273487512456493,7.722515492944239,42.036037381365624,0.2695766670556257,-0.9823299391617271,338
annapolis,Trimble,Trimble mx7,37408,3.0077479463811523,4.9055696905064305,47.23291309690042,-2.6698013533985523,0.42727173985407474,370
annapolis,Trimble,Trimble MX7,15824,2.3661065223622586,4.021989744805035,83.38768828787778,-1.7778043763062563,0.8145152567354503,299
laurens,GoPro,GoPro Max,4495,2.872885174598501,5.1221687073534286,80.41236208297455,-0.6629666604647927,-2.2182181656805535,19
