city,pano_id,tilt_deg,tilt_bucket,pitch_deg,roll_deg,make,model,v_original,v_documented,v_pitch-flipped,v_roll-flipped,v_both-flipped,v_pitch-only,v_roll-only
richmond,1002881108606016,4.636779300506855,3-5,-4.432922926938315,-1.3611079276307467,none,none,0.09973012183517152,0.1370138683056955,0.057017612280236496,0.13075831084348627,0.05896759902032666,0.13735706597195138,0.0938645617209803
richmond,1021092976148975,0.41400984558286374,0-1.5,0.04166484357646427,-0.41190802730410875,GoPro,GoPro Max,0.1274355334383726,0.12706113598427532,0.1268271375754645,0.12871472473987178,0.13029031402586463,0.1301343150866574,0.12701433630251313
richmond,1023400645666420,1.3065543225370932,0-1.5,0.7032022439899365,1.101204654760613,GoPro,GoPro Max,0.10962045458090885,0.1249395504110572,0.11526761618020998,0.10311529881596805,0.09150897773895138,0.11369202689421712,0.12214716939924808
richmond,1041352537628655,1.7034613119578714,1.5-3,-1.29359606071981,1.1084215994899052,NCTECH LTD,iSTAR Pulsar,0.12174157215730932,0.12994711635960876,0.11905839040294526,0.12342636070074724,0.10369249489103474,0.12713913545387892,0.12673353821194017
richmond,1044606157061812,3.119161432049052,3-5,-1.3209575004842904,2.8258900345720837,GoPro,GoPro Max,0.10843486264293403,0.11654680748170912,0.10865326115782413,0.09489415471974791,0.07392789729029843,0.11684320546620283,0.11620360981545326
richmond,1050503583329955,3.822436567546609,3-5,-0.8020086983262114,3.737474542186221,NCTECH LTD,iSTAR Pulsar,0.13665507074551894,0.16854125391947336,0.15844812255276663,0.10545528290407626,0.09866932904856247,0.1448138152660562,0.16329968956211097
richmond,1051211967136526,3.9932902596404856,3-5,-1.0708340730646924,3.8472594691612376,NCTECH LTD,iSTAR Pulsar,0.11094817634395182,0.13103910893405926,0.12520474860770947,0.07893546323884998,0.07370949877540833,0.10818526434020248,0.1319595026753818
richmond,1069666650973873,2.3914341865079707,1.5-3,-0.1362073201557436,-2.3875543499605363,NCTECH LTD,iSTAR Pulsar,0.12835592717969518,0.13484548305071525,0.133347893234326,0.09902812660873907,0.10027611812239677,0.12897992293652402,0.13609347456437296
richmond,1071700701728910,5.207710877467577,5-10,-4.264592872426685,2.9916612549979256,NCTECH LTD,iSTAR Pulsar,0.07093271765751993,0.10851286211253763,0.05740760962825453,0.09052618442194593,0.0503720574700092,0.10363009531535186,0.08107264870598879
richmond,1073049581231056,3.022446337297531,3-5,-1.916099102753791,2.3379016408376585,NCTECH LTD,iSTAR Pulsar,0.14514141303839134,0.1447358157964526,0.13857385769776764,0.11817103990515117,0.11291203219818105,0.13997784815063258,0.14484501505389763
