city,n_panos,n_without_rotation,n_sequences,yaw_vs_computed_compass_max_deg,tilt_p50,tilt_p90,tilt_p99,tilt_max,frac_tilt_gt_1p5,frac_tilt_gt_3,frac_tilt_gt_5,frac_tilt_gt_10,tilt_p50_label_weighted,tilt_p90_label_weighted,pitch_p05,pitch_p50,pitch_p95,roll_p05,roll_p50,roll_p95,exif_compass_disagreement_p50,frac_exif_compass_off_gt_10deg,lag1_rms_pitch,lag1_rms_roll,lag1_over_sqrt2_sd_pitch,n_lag1_pairs,seq_within_sd_pitch_p50,seq_within_sd_roll_p50,seq_between_sd_pitch,seq_between_sd_roll,n_sequences_ge5
richmond,9091,0,358,8.185452315956354e-12,3.38013314319376,12.395078486502047,22.958277349798863,51.07767839876331,0.8132218677813222,0.5509844901550984,0.34517654823451766,0.13595864041359587,2.725247113168197,8.109142900780451,-12.647347270904225,-1.081021160483257,5.8793344088055735,-7.703406318974747,0.7195264987438093,6.372521650798767,2.642177566589993,0.24870751292487076,2.799051013199198,2.191901497388248,1.7201221446273463,8686,1.150632214405342,1.161769565681819,1.7309342984253748,1.868935110512643,296
clovis,72776,0,514,8.469669410260394e-12,2.9556501697224338,5.841399884959492,9.08186146133353,169.7660006775229,0.8296141585137957,0.490189073320875,0.16138562163350556,0.008079586676926459,2.8628361098896704,5.451921422642014,-6.307701882188982,-2.052961070927568,3.0752752050954704,-2.5378905664479503,-0.34654662683220183,1.8958526462925653,17.1554477766,0.5163515444652083,1.5738611734759487,2.8855848449890678,1.1866944087599924,72260,0.9378049649479225,0.5904993133404994,2.5158758835537327,2.721325951511378,507
morgantown,51692,0,338,8.242295734817162e-12,3.2273487512456493,7.722515492944239,22.893461696451563,42.036037381365624,0.8306507776832005,0.5396966648611004,0.2655149733034125,0.04608063143232995,3.148567797688328,7.300625794877617,-6.238590398985107,0.2695766670556257,6.6782594334709895,-5.148997036144038,-0.9823299391617271,3.616291704059354,2.8310934159,0.29377853439603807,1.3262342939609415,1.2121797956154776,0.3833442810407052,51349,2.446336906751339,1.8245134060808086,3.785602116643788,1.6554310814236055,337
annapolis,53232,0,669,8.469669410260394e-12,2.785352453885878,4.701827159384738,7.049466366793268,83.38768828787778,0.8517057409077247,0.4371618575293057,0.07484220018034266,0.0008265704839194469,2.812940708270217,4.627495580529833,-5.154732242023134,-2.3647937830346777,0.38392277976073325,-1.8134466324200222,0.5356935645529669,2.5008970667510537,79.4588710102604,0.9058648932972648,0.9462930919836733,0.8615735202058171,0.5058242183894963,52511,1.3228513740644876,1.0635831637477773,0.911771391201012,1.0040042477211273,623
laurens,4495,0,19,7.901235221652314e-12,2.872885174598501,5.1221687073534286,6.993616871437384,80.41236208297455,0.8389321468298109,0.471412680756396,0.11234705228031146,0.002224694104560623,3.0950188815639565,5.036667330882674,-2.8167772452311874,-0.6629666604647927,2.9552061757784345,-5.27011499626289,-2.2182181656805535,0.3294577829940543,2.766182543799971,0.15038932146829811,1.981748698865537,1.2699566415491017,1.2620806034286494,4472,1.1103157276710816,1.627730698639411,1.4576063518882194,0.5982489641347605,19
