city,n_detections,n_placed_25m,abs_sin_azimuth_p50,cross_component_abs_p50,cross_component_abs_p90,slope_along_bearing_abs_p50,slope_along_bearing_abs_p90,slope_travel_model_abs_p50,slope_travel_model_abs_p90,pano_cross_abs_p50_label_weighted,frac_cross_component_gt_0p5,frac_cross_component_gt_1,shift_full_vs_flat_p50_m,shift_full_vs_flat_p90_m,shift_full_vs_travel_p50_m,shift_full_vs_travel_p90_m,shift_travel_vs_flat_p50_m,shift_travel_vs_flat_p90_m
bend,45209,43506,0.6200572117632892,0.46888204325946625,1.5318086830074495,0.6591636423110511,1.837616685864389,0.27998581842929515,1.0254516537283072,0.885477912798383,0.4779579287310049,0.2250436859917273,0.5607776500547903,2.570864090114466,0.40424158082670353,1.8217131488524752,0.23665532119673754,1.7013798887512421
paterson,32187,26559,0.5707807458869673,0.48912767096183385,1.7205430299145896,0.8077144506206605,2.4625616986063124,0.45672457856008297,1.6861268693919154,0.982005881529505,0.4912853015192469,0.2456581849815143,0.8514948322293512,4.253774774303982,0.5973346131081129,2.6075475823650693,0.4729558108691673,3.2761995927456877
gainesville,19658,17056,0.6152315905806268,0.43821040243428183,1.4372987699102555,0.7743452915319439,1.918330733014534,0.4543670216515629,1.2955496248303806,0.855213464232502,0.4521314477566385,0.20200427306948826,0.9325741892469497,3.8898953865607173,0.5870782409725357,2.4439168730827943,0.5335666207747143,2.834489399262043
sao_paulo,17856,16581,0.5707807458869673,0.594174137411366,2.23953089750704,1.067113244156415,3.3918190993809625,0.5835134847862926,2.475262803191977,1.2243271251062129,0.5565076164874552,0.3227486559139785,1.0353616356572293,5.2683515310309295,0.6358535961321568,2.851648976924823,0.5843559324808464,4.488671385177843
