city,year,n_measured,grade_abs_p50,grade_abs_p90,cross_abs_p50,cross_p50_signed,ground_d_p50
bend,2007,6,4.452457372043873,5.634870366234602,0.7723432335615856,-0.7723432335615856,1.9167914390563965
bend,2008,9,3.3489064985393013,4.762129486073525,0.8935381182547635,-0.19790057237085204,1.7761650085449219
bend,2009,13,2.539593989549548,3.493416830676333,0.8267789930222136,-0.6588871683203004,1.829014778137207
bend,2012,171,0.6216039618156228,2.5683235851640482,1.0748305937881548,0.10057026365117024,2.3662476539611816
bend,2015,77,0.8017398495532632,3.0637623827739833,1.6505544620977322,-0.7594985661015898,2.3701558113098145
bend,2017,72,0.6842607154961547,2.1341821929915783,1.572204534680047,0.6487504941923755,2.390178918838501
bend,2018,266,0.6665122313636763,3.5032827123702197,1.1243333855730602,0.3650940012801668,2.325786590576172
bend,2019,1541,0.8396666493646534,1.9651591904366383,0.9418401085022763,-0.44873226810365524,2.342484712600708
bend,2021,909,0.530364542661064,1.5850132173942373,0.9398252557829322,-0.47998598948728605,2.3843584060668945
bend,2024,59952,0.42377422814527643,1.47542884608138,0.9666912479903865,-0.5579032520159914,2.3730061054229736
bend,2025,2883,0.36774342364434426,1.3513932631531684,0.8911426701670203,-0.5189020688885708,2.3520898818969727
paterson,2007,118,2.356869503232859,4.012758909393129,0.8063754518665365,-0.3075412835699435,2.149852752685547
paterson,2008,98,2.5932002313005027,4.271257552566498,1.2088766247489222,-1.0439200645680233,2.2923269271850586
paterson,2012,2,0.005625006358332453,3.6879919577846394,0.008389141435005583,0.008389141435005583,2.3266561031341553
paterson,2013,1,3.6757729102445564,3.6757729102445564,1.5791199379070588,-1.5791199379070588,2.289705514907837
paterson,2014,13,1.7597217443744448,4.6822806121118035,3.339438470715866,0.25136670412885453,2.1577541828155518
paterson,2015,4,3.109260238310587,3.3605738625163197,3.4636070011322064,2.708810295581158,2.459528923034668
paterson,2016,1,0.7811940135368336,0.7811940135368336,3.8538046099824665,-3.8538046099824665,2.4238338470458984
paterson,2017,17,0.27898867995215165,1.0336273480167697,0.6048129987317657,0.5661449544491656,2.381819009780884
paterson,2018,1523,0.6499053539671181,2.2958139296520685,1.0492174180765106,-0.5928345763015177,2.3476481437683105
paterson,2019,1264,0.5177581077560303,2.2330885507043052,1.1574070683728115,-0.7533066591177114,2.3727352619171143
paterson,2020,2933,0.5401825823415113,2.2723420152433764,1.070463995057588,-0.4807668584061627,2.3489787578582764
paterson,2021,1659,0.5250688637956926,2.0271224497009777,1.0992480168638934,-0.6753549394128652,2.346726894378662
paterson,2022,29,0.5274715190463348,2.621684832693817,0.7967807407296814,-0.6665649343148212,2.352182626724243
paterson,2023,11,1.597458024183851,2.997911195026335,3.1545380750835093,-2.373070793113855,2.1364622116088867
paterson,2024,7411,0.5278275608183934,2.302641761222707,1.3187251214456437,-1.052649172633928,2.3736939430236816
paterson,2025,15157,0.9110474301728051,2.5640459919613967,1.0248755411233434,-0.3276027766247276,1.8619177341461182
paterson,2026,94,0.8604090045530263,1.4361804004965126,1.233411637483781,1.233411637483781,1.7393296957015991
gainesville,2007,153,2.852570241535358,4.233682626736463,1.2957242878041322,-0.88750212554276,2.1475119590759277
gainesville,2008,9,2.9721271276987373,3.408855983698955,1.9101468393000949,-1.8773092217982916,2.419646978378296
gainesville,2011,137,0.7677931643480511,1.8714880803158953,1.1960304346104496,0.12083419363272475,2.12307071685791
gainesville,2014,44,0.2858384150514887,1.0053732386598957,1.252172630739568,0.19900288832133115,2.3070106506347656
gainesville,2015,225,0.4893182329002347,1.703049100402242,1.1430822360814303,-0.5054317638199112,1.9351729154586792
gainesville,2016,110,1.0328252328371268,2.0576870694166383,1.0239685648160233,-0.4506722434233289,2.1309070587158203
gainesville,2017,17,0.8270592876234563,3.5669636555869735,1.387529939853742,-1.2318519741176852,2.239933967590332
