city,n_panos,n_measured,frac_measured,n_degenerate,n_implausible,n_no_file,n_synthetic_ground,frac_synthetic_of_nondegenerate,grade_abs_p50,grade_abs_p90,grade_abs_p99,cross_abs_p50,cross_abs_p90,cross_abs_p99,grade_p50_signed,cross_p50_signed,cross_mean_signed,frac_cross_falls_right,tilt_p50,tilt_p90,frac_grade_gt_1,frac_grade_gt_2,frac_grade_gt_4,link_axis_diff_p50,link_axis_diff_p90,frac_link_axis_within_5,slope_grade_on_meta_pitch,r_grade_meta_pitch,slope_cross_on_meta_roll,r_cross_meta_roll,n_well_determined,frac_well_determined,slope_grade_on_meta_pitch_welldet,r_grade_meta_pitch_welldet,slope_cross_on_meta_roll_welldet,r_cross_meta_roll_welldet,pixel_share_p50
bend,78560,65899,0.8388365580448065,149,41,12,12459,0.15891784333983852,0.43182413849860585,1.4968516574189537,4.293817321941368,0.9631864848017745,2.608401715499811,6.527653834274768,-0.06484851605555843,-0.5476840539784597,-0.5860468584686597,0.6682650723076222,1.2217328585352862,2.9767061278600964,0.19321992746475666,0.05723910833244814,0.011988042307167029,1.2652816772460938,7.5153350830078125,0.8488142669840502,0.09178196278392316,0.15650491689635673,-0.4455114138287475,-0.30612001642110304,33840,0.5135131033854838,0.09415011628158305,0.21340610830858667,-0.481069107256818,-0.42795126760363367,0.30283355712890625
paterson,34687,30335,0.8745351284342837,167,26,260,3899,0.11380618797431406,0.7346574346293264,2.4762603547023283,6.394304132874385,1.1108128621424038,3.50243441935758,7.897039886384923,0.37718139959640756,-0.5648855633004719,-0.5932609605781856,0.6491511455414538,1.572963215504756,4.401797455513222,0.3742871270809296,0.14320092302620735,0.03833855282676776,0.7899389266967773,5.209442138671875,0.896442368679006,0.24265350618403544,0.29817289000967084,-0.6258154958287221,-0.3917336549070201,16276,0.536541948244602,0.25914318041858114,0.37102877920324673,-0.6392749226895891,-0.47645266254968305,0.30767822265625
gainesville,37435,30464,0.8137838920796047,73,575,2232,4091,0.11645317392541987,0.7974370132504256,1.6873616470794188,3.7540823508166947,0.9683852039696116,2.518717123010225,5.15188427068485,0.6966647584189815,-0.42979678269393623,-0.3823273337954064,0.6249343487394958,1.432857966111279,2.946499085763839,0.34965861344537813,0.06378019957983193,0.008009453781512604,0.9456100463867756,7.681427001953125,0.8568948015173372,0.3434777972080055,0.4090331090956757,-0.694635930220309,-0.5520461810682764,22378,0.7345719537815126,0.33734766719837384,0.4478400039731372,-0.7129520425927008,-0.6217608908626047,0.36180877685546875
sao_paulo,30034,18606,0.6194979023773057,68,42,7293,4025,0.17752392713800555,1.0173405756469842,3.7081764305705254,10.375842051089059,1.492580865557626,4.727725438265651,10.979024084059688,0.5275894569032019,-0.29308433916558946,-0.33896576251443294,0.5585295066107707,2.283276633916895,6.180378301717264,0.5051058798237128,0.2837256798882081,0.08819735569171235,0.8777580261230469,5.561065673828125,0.8888925883998136,0.5420715005146772,0.4969782380295025,-0.8697121843786122,-0.552536545914655,8637,0.46420509513060304,0.707259954195295,0.670018438495732,-0.8906298968178372,-0.6728387158711306,0.29259490966796875
