city,results,group,h_true,noise_scale,offset_px,seed,a_panos,a_sites,h_star_a,a_slope,b_views_2p6,b_2p6,b_2p6_null_sd_m,b_2p6_offset,h_star_b,b_slope,h_star_b_lo,h_star_b_hi,gap_raw,gap_fixed,a_err,b_2p6_err,b_fixed_err,b_at_1.4,b_at_1.6,b_at_1.8,b_at_2,b_at_2.3,b_at_2.6,b_at_3,implied_at_1.4,implied_at_1.6,implied_at_1.8,implied_at_2,implied_at_2.3,implied_at_2.6,implied_at_3,n_dets_in,n_dets_out,n_no_site,n_unprojectable,n_on_rig
richmond,results.jsonl,gopro/max,2.2,0.0,0.0,1,695,485,2.2,0.0,1253,2.4339,0.0309,2.439,2.2322,0.5134,2.2075,2.2564,0.2339,0.0322,0.0,0.2339,0.0322,1.6895,1.9101,2.0489,2.1897,2.3424,2.4339,2.5355,2.2,2.2,2.2,2.2,2.2,2.2,2.2,9526,8096,1430,0,13
richmond,results.jsonl,gopro/max,2.2,0.5,0.0,0,704,481,2.1543,0.2701,1252,2.4472,0.0424,2.5903,2.2006,0.6138,2.163,2.2369,0.2929,0.0463,-0.0457,0.2472,0.0006,1.618,1.8238,1.9865,2.1561,2.3185,2.4472,2.6218,1.9106,2.0069,2.0687,2.1459,2.2227,2.2618,2.3608,9526,8096,1430,0,17
richmond,results.jsonl,gopro/max,2.2,0.5,0.0,1,694,492,2.1406,0.2866,1271,2.4445,0.0352,2.6101,2.1864,0.6131,2.1491,2.2235,0.3039,0.0458,-0.0594,0.2445,-0.0136,1.6121,1.8173,1.9972,2.1346,2.3122,2.4445,2.6161,1.8789,1.9753,2.0817,2.1346,2.204,2.2734,2.3549,9526,8096,1430,0,13
richmond,results.jsonl,gopro/max,2.2,1.0,0.0,0,665,517,2.1805,0.584,1111,2.5193,0.0312,2.8181,2.2186,0.7711,2.1526,2.2947,0.3389,0.0381,-0.0195,0.3193,0.0186,1.566,1.733,1.9013,2.0613,2.3182,2.5193,2.7909,1.728,1.8323,1.97,2.0725,2.25,2.4158,2.6656,9526,8096,1430,0,18
richmond,results.jsonl,gopro/max,2.2,1.0,0.0,1,669,521,2.2281,0.6338,1154,2.5422,0.0485,2.7565,2.1675,0.7899,2.0936,2.2455,0.314,-0.0607,0.0281,0.3422,-0.0325,1.5298,1.7173,1.885,2.0608,2.2791,2.5422,2.7851,1.7056,1.8294,1.9349,2.0796,2.2948,2.4949,2.6892,9526,8096,1430,0,17
richmond,results.jsonl,gopro/max,2.4,0.0,0.0,0,702,488,2.4,0.0,1302,2.5767,0.0277,2.5961,2.4662,0.5824,2.4368,2.4953,0.1767,0.0662,0.0,0.1767,0.0662,1.7247,1.9448,2.1353,2.27,2.4551,2.5767,2.6641,2.4,2.4,2.4,2.4,2.4,2.4,2.4,9526,8096,1430,0,14
richmond,results.jsonl,gopro/max,2.4,0.0,0.0,1,702,488,2.4,0.0,1302,2.5767,0.0277,2.5961,2.4662,0.5824,2.4368,2.4953,0.1767,0.0662,0.0,0.1767,0.0662,1.7247,1.9448,2.1353,2.27,2.4551,2.5767,2.6641,2.4,2.4,2.4,2.4,2.4,2.4,2.4,9526,8096,1430,0,14
richmond,results.jsonl,gopro/max,2.4,0.5,0.0,0,712,499,2.3573,0.2977,1294,2.566,0.0196,2.7275,2.4353,0.6764,2.3873,2.4891,0.2087,0.078,-0.0427,0.166,0.0353,1.6273,1.8577,2.0448,2.2206,2.4231,2.566,2.72,2.0083,2.1259,2.2324,2.294,2.3596,2.4427,2.5024,9526,8096,1430,0,17
richmond,results.jsonl,gopro/max,2.4,0.5,0.0,1,702,495,2.3318,0.2965,1318,2.5184,0.0294,2.6852,2.374,0.645,2.3307,2.4192,0.1866,0.0422,-0.0682,0.1184,-0.026,1.655,1.8684,2.0377,2.2105,2.3783,2.5184,2.7127,1.9905,2.1257,2.1944,2.2794,2.3495,2.4105,2.4917,9526,8096,1430,0,14
richmond,results.jsonl,gopro/max,2.4,1.0,0.0,0,691,540,2.351,0.5712,1194,2.5807,0.0358,2.865,2.3636,0.7916,2.2816,2.4694,0.2297,0.0126,-0.049,0.1807,-0.0364,1.5699,1.7596,1.9249,2.0961,2.3241,2.5807,2.8293,1.7881,1.9121,2.0489,2.1609,2.3328,2.5236,2.6871,9526,8096,1430,0,20
