city,tier,frame,arm,radius_m,vintage,n,median_along_m,q25_along_m,q75_along_m,median_along_over_range,median_range_m
bend,0.3000,frozen@b,b,5.0000,2021,34,-0.0363,-0.4559,0.2854,-0.0026,11.2503
bend,0.3000,frozen@b,b,5.0000,2024,8836,-0.0361,-0.4019,0.3267,-0.0032,12.1083
bend,0.3000,frozen@b,b,5.0000,2025,64,0.0139,-0.7067,0.4790,0.0009,11.9200
bend,0.3000,frozen@b,b,5.0000,mixed,1632,-0.1038,-0.4470,0.2487,-0.0081,12.4610
bend,0.3000,frozen@b,c,5.0000,2012,261,-0.7241,-1.1997,-0.2497,-0.0722,9.7790
bend,0.3000,frozen@b,c,5.0000,2015,4,0.0696,-0.8539,0.0696,0.0162,5.7346
bend,0.3000,frozen@b,c,5.0000,2017,21,-0.8308,-2.2642,-0.6874,-0.1456,7.5676
bend,0.3000,frozen@b,c,5.0000,2018,11,-1.2623,-1.9670,-0.6864,-0.2186,6.1206
bend,0.3000,frozen@b,c,5.0000,2019,56,-0.1811,-0.5373,0.1995,-0.0182,9.9977
bend,0.3000,frozen@b,c,5.0000,2021,34,-0.2138,-0.6398,0.1948,-0.0208,11.4233
bend,0.3000,frozen@b,c,5.0000,2024,8836,-0.1425,-0.5037,0.2159,-0.0124,11.8433
bend,0.3000,frozen@b,c,5.0000,2025,64,-0.1926,-0.9649,0.3765,-0.0184,11.4615
bend,0.3000,frozen@b,c,5.0000,mixed,1632,-0.2070,-0.5686,0.1298,-0.0171,12.1471
bend,0.3000,frozen@b,b1.00,5.0000,2012,261,-0.5180,-1.0043,-0.0629,-0.0520,10.1702
bend,0.3000,frozen@b,b1.00,5.0000,2015,4,0.1009,-0.6246,0.1009,0.0226,5.9640
bend,0.3000,frozen@b,b1.00,5.0000,2017,21,-0.6125,-1.8263,-0.4396,-0.1162,7.8703
bend,0.3000,frozen@b,b1.00,5.0000,2018,11,-1.0607,-2.0135,-0.5099,-0.1815,6.3655
bend,0.3000,frozen@b,b1.00,5.0000,2019,56,-0.4569,-0.8983,-0.0417,-0.0552,9.3531
bend,0.3000,frozen@b,b1.00,5.0000,2021,34,-0.4138,-0.9393,-0.0245,-0.0456,10.4169
bend,0.3000,frozen@b,b1.00,5.0000,2024,8836,-0.3363,-0.7209,0.0286,-0.0304,11.2891
bend,0.3000,frozen@b,b1.00,5.0000,2025,64,-0.3803,-1.0991,0.0593,-0.0403,11.1349
bend,0.3000,frozen@b,b1.00,5.0000,mixed,1632,-0.3343,-0.6801,0.0247,-0.0283,11.7633
bend,0.3000,frozen@c,a,5.0000,2012,262,-0.5293,-1.0057,-0.0922,-0.0545,10.0795
bend,0.3000,frozen@c,a,5.0000,2015,4,0.1009,-0.6246,0.1009,0.0226,5.9640
bend,0.3000,frozen@c,a,5.0000,2017,23,-0.6287,-1.4872,-0.5435,-0.1168,7.8703
bend,0.3000,frozen@c,a,5.0000,2018,12,-0.9817,-1.4933,-0.7935,-0.1552,6.7402
bend,0.3000,frozen@c,a,5.0000,2019,53,0.0177,-0.2928,0.4999,0.0026,10.1147
bend,0.3000,frozen@c,a,5.0000,2021,34,0.0270,-0.4218,0.3118,0.0028,11.2077
bend,0.3000,frozen@c,a,5.0000,2024,8826,0.0355,-0.3294,0.3882,0.0030,12.3568
bend,0.3000,frozen@c,a,5.0000,2025,62,0.0086,-0.6682,0.5316,0.0007,11.7492
bend,0.3000,frozen@c,a,5.0000,mixed,1638,-0.0414,-0.3941,0.3026,-0.0033,12.7100
bend,0.3000,frozen@c,b,5.0000,2012,262,-0.5275,-1.0057,-0.0922,-0.0545,10.0795
bend,0.3000,frozen@c,b,5.0000,2015,4,0.1009,-0.6246,0.1009,0.0226,5.9640
bend,0.3000,frozen@c,b,5.0000,2017,23,-0.6287,-1.4872,-0.5435,-0.1168,7.8703
bend,0.3000,frozen@c,b,5.0000,2018,12,-1.0607,-1.6828,-0.7935,-0.1552,6.7402
bend,0.3000,frozen@c,b,5.0000,2019,53,-0.0841,-0.4213,0.2582,-0.0093,10.0187
bend,0.3000,frozen@c,b,5.0000,2021,34,-0.0398,-0.4559,0.3205,-0.0038,10.6907
bend,0.3000,frozen@c,b,5.0000,2024,8826,-0.0317,-0.3969,0.3289,-0.0026,12.1471
bend,0.3000,frozen@c,b,5.0000,2025,62,-0.0106,-0.6476,0.4710,-0.0010,11.6261
bend,0.3000,frozen@c,b,5.0000,mixed,1638,-0.0963,-0.4364,0.2571,-0.0076,12.5276
bend,0.3000,frozen@c,c,5.0000,2012,262,-0.7244,-1.2215,-0.2497,-0.0755,9.6918
bend,0.3000,frozen@c,c,5.0000,2015,4,0.0696,-0.8539,0.0696,0.0162,5.7346
bend,0.3000,frozen@c,c,5.0000,2017,23,-0.8362,-1.9325,-0.7036,-0.1534,7.5676
bend,0.3000,frozen@c,c,5.0000,2018,12,-1.2623,-1.8635,-1.0528,-0.2014,6.4810
bend,0.3000,frozen@c,c,5.0000,2019,53,-0.2415,-0.5844,0.2574,-0.0221,9.7257
bend,0.3000,frozen@c,c,5.0000,2021,34,-0.2138,-0.6398,0.1948,-0.0208,10.7766
bend,0.3000,frozen@c,c,5.0000,2024,8826,-0.1391,-0.4988,0.2175,-0.0119,11.8815
bend,0.3000,frozen@c,c,5.0000,2025,62,-0.2275,-0.9649,0.3384,-0.0198,11.2973
bend,0.3000,frozen@c,c,5.0000,mixed,1638,-0.2009,-0.5597,0.1343,-0.0164,12.2212
bend,0.3000,frozen@c,b1.00,5.0000,2012,262,-0.5293,-1.0057,-0.0694,-0.0545,10.0795
bend,0.3000,frozen@c,b1.00,5.0000,2015,4,0.1009,-0.6246,0.1009,0.0226,5.9640
bend,0.3000,frozen@c,b1.00,5.0000,2017,23,-0.6287,-1.4872,-0.5435,-0.1168,7.8703
bend,0.3000,frozen@c,b1.00,5.0000,2018,12,-1.0607,-1.7652,-0.7935,-0.1552,6.7402
bend,0.3000,frozen@c,b1.00,5.0000,2019,53,-0.4662,-0.8753,-0.0133,-0.0583,9.2766
bend,0.3000,frozen@c,b1.00,5.0000,2021,34,-0.4138,-0.7797,-0.0692,-0.0482,10.1165
bend,0.3000,frozen@c,b1.00,5.0000,2024,8826,-0.3290,-0.7131,0.0359,-0.0295,11.3195
bend,0.3000,frozen@c,b1.00,5.0000,2025,62,-0.4179,-1.0991,0.0593,-0.0442,11.1349
bend,0.3000,frozen@c,b1.00,5.0000,mixed,1638,-0.3235,-0.6692,0.0345,-0.0270,11.8219
