city,rig,panos,dem__sfm_n,dem__sfm_r,dem__sfm_slope,dem__sfm_mad,dem__sfm_p90_abs,dem_2pt__sfm_n,dem_2pt__sfm_r,dem_2pt__sfm_slope,dem_2pt__sfm_mad,dem_2pt__sfm_p90_abs,dem__sfm_smoothed_n,dem__sfm_smoothed_r,dem__sfm_smoothed_slope,dem__sfm_smoothed_mad,dem__sfm_smoothed_p90_abs,sfm__sfm_smoothed_n,sfm__sfm_smoothed_r,sfm__sfm_smoothed_slope,sfm__sfm_smoothed_mad,sfm__sfm_smoothed_p90_abs,dem_2pt__dem_n,dem_2pt__dem_r,dem_2pt__dem_slope,dem_2pt__dem_mad,dem_2pt__dem_p90_abs,lag1_rms_sfm,median_abs_sfm,lag1_rms_sfm_smoothed,median_abs_sfm_smoothed,lag1_rms_dem_2pt,median_abs_dem_2pt,lag1_rms_dem,median_abs_dem,relief_sequences,relief_p10,relief_p50,relief_p90,relief_share_0p8_1p2,relief_share_negative
richmond,all,9091,8466,0.3454081898421348,0.40048078035645635,0.4798857132858828,2.991899327211768,8466,0.30234813771165214,0.2994051400142668,0.46494457694373953,2.9139718142063193,8558,0.3926982671821555,0.40412505191947345,0.45276073302925585,3.0715320308840948,8466,0.9091567815362591,0.8245075770745536,0.03204952082773914,0.4517018537196277,8466,0.8986412382490601,0.7675192033954951,0.033847378508789494,0.6175193429788577,2.9156891765994057,1.0550394280969728,2.3580867423287453,1.044914826355149,2.2031959172018327,0.8894981701549576,1.4523235862353046,0.8712251206047199,61,0.3786459524798711,0.9807488591094726,1.1554118983463144,0.6065573770491803,0.03278688524590164
richmond,GoPro GoPro Max,3318,3217,0.30444467296348826,0.4022094199061232,0.796757342027717,4.619902674305526,3217,0.25423733250621466,0.273162159388846,0.785342177700105,4.506664902031248,3297,0.36371281991278515,0.40925208558772186,0.7269885715332258,4.707764583442303,3217,0.887257241127519,0.7902625585591221,0.09786463412177104,0.712681424550506,3217,0.8791625030316776,0.7150007748736916,0.1270314912584415,1.3064888540274993,4.168313606095831,1.4766173462551528,3.327573963736498,1.4564322592677958,2.3580959975879248,1.1849302460471771,1.2182053787150913,1.1625113056007517,13,0.7056228620465862,0.9990948665775506,1.0453204711456578,0.7692307692307693,0.0
richmond,NCTECH LTD iSTAR Pulsar,4809,4289,0.41715387226922446,0.41090285845873364,0.3387526422902618,1.6121938697378182,4289,0.4175017254411745,0.4005724213689538,0.32536588015106194,1.540862763020487,4301,0.43151868739491,0.4119260946830217,0.3209269528797729,1.5204586951009678,4289,0.9804009025945648,0.9490415431892607,1.0844947428978458e-06,0.24840177357236404,4289,0.9593745572835428,0.9344758551010061,0.0,0.23337206283941395,1.5198215879438801,0.8052949110862772,1.4614200892290448,0.7978625155370204,1.9231790083357148,0.7225272885976084,1.698810353960592,0.7087450482027282,34,0.4007438341219569,0.9807488591094726,1.165107420736001,0.6176470588235294,0.0
richmond,none none,960,960,0.4221720637505625,0.3680583438606017,0.4774042367592589,2.145422888782834,960,0.33730058665096985,0.23237948118519952,0.4437971112368773,2.0227929672125065,960,0.4846803147525917,0.3585349421478178,0.46506855504635924,2.156637923191951,960,0.8654622389822535,0.7343397784539475,0.08293666530346189,0.3801655557836545,960,0.873250933990462,0.6900690729454421,0.08086733630491644,0.7267618207005982,2.006981398632549,0.9805840132448072,0.7574815400778354,0.9743537345146349,2.685572013507876,0.7652194063090954,1.0382220640767936,0.7670881198260338,14,-0.14620192777546964,0.7693026195118013,1.1675767546299505,0.42857142857142855,0.14285714285714285
clovis,all,72776,68812,0.08244326469352908,0.6730596389430846,0.13475451915150766,0.5892053678755192,68812,0.08562569778493201,0.6016512726375183,0.1269009281200356,0.5188649062673133,69818,0.09034222263228966,0.6648080094072087,0.11374707312098897,0.4712240341664051,68812,0.8858507027523815,0.7967823840341549,0.007752490133955736,0.19338028036074378,68812,0.8662686685677764,0.7455812125987282,0.008080359738190573,0.18377838676252478,4.311958826051844,0.24180616319287423,3.681450128583248,0.22195866571776984,0.5241733197617989,0.2262665708419745,0.40322102913300023,0.2077173115106774,412,0.6019813375662514,0.9946591466887829,1.4288216561441358,0.529126213592233,0.019417475728155338
clovis,GoPro Fusion,32680,28841,0.07083713143112337,0.7568051764000829,0.1726625477978253,1.0854774991629235,28841,0.06281091202081697,0.5610711791281664,0.16529366666809342,1.0328275440363135,29771,0.07785418932728044,0.7543136701575411,0.14952371805896236,0.9260099402585987,28841,0.9005172783643796,0.8157633624574218,0.0,0.1691878859112237,28841,0.8296519453532509,0.6936744030925077,0.0,0.1301176070736722,5.999048384602099,0.26017855198355666,5.169268281197712,0.23602285733370082,0.7238061421424697,0.22414334436096292,0.5682754540483496,0.19862370787249836,202,0.48354327835433136,1.0100603715844223,1.8895831884086614,0.43564356435643564,0.0297029702970297
clovis,GoPro GoPro Fusion FS1.04.01.80.00,40096,39971,0.12005345648466557,0.5991845243844508,0.11526354907253139,0.401016722380824,39971,0.14531900221088156,0.6412770955103917,0.10649782464313765,0.33647253936208044,40047,0.13419166015551337,0.5853768206020811,0.09506184475792677,0.29824762523785076,39971,0.8250480936218909,0.7202819071210615,0.03139516652886032,0.1999664797127802,39971,0.9009467792813558,0.7965930973250167,0.03482913616566938,0.20280543446346846,2.625238720703555,0.23079536408028917,2.0919465617318664,0.21431319665099904,0.32737702860872514,0.2279869019981154,0.2254793884871254,0.213696175525071,210,0.6942157059681743,0.9890638805632243,1.3044316364267146,0.6190476190476191,0.009523809523809525
morgantown,all,51692,51649,0.8028147159728392,0.8540879369832017,0.35008860777939965,1.5731017331258745,51649,0.7980961073262013,0.8055941030638,0.2887504273093935,1.251704069666892,51672,0.8764550793909339,0.8416652631994832,0.25272510192300435,1.1040602684863114,51649,0.9273345745458464,0.8370717710581199,0.14648233509729858,0.9682691248028314,51649,0.9674451161076499,0.9179101225689201,0.159672763519411,1.0010170885229348,2.1061596833770544,2.0700865789358147,0.8711928305355221,2.0374384755227455,1.3647526671016998,2.173630307584999,0.8898531097636854,2.13601954264759,274,0.8233560823574785,0.9579524104697459,1.046242226221516,0.8905109489051095,0.0036496350364963502
morgantown,GoPro GoPro Max,51692,51649,0.8028147159728392,0.8540879369832017,0.35008860777939965,1.5731017331258745,51649,0.7980961073262013,0.8055941030638,0.2887504273093935,1.251704069666892,51672,0.8764550793909339,0.8416652631994832,0.25272510192300435,1.1040602684863114,51649,0.9273345745458464,0.8370717710581199,0.14648233509729858,0.9682691248028314,51649,0.9674451161076499,0.9179101225689201,0.159672763519411,1.0010170885229348,2.1061596833770544,2.0700865789358147,0.8711928305355221,2.0374384755227455,1.3647526671016998,2.173630307584999,0.8898531097636854,2.13601954264759,274,0.8233560823574785,0.9579524104697459,1.046242226221516,0.8905109489051095,0.0036496350364963502
annapolis,all,53232,52827,0.8319347483568491,0.9157560964987079,0.17751230556579262,0.7327168935725916,52827,0.8348834554873854,0.8706164531123083,0.1395218455501619,0.552664493547141,52882,0.8959914413987569,0.9120852711714443,0.12094364391082452,0.5190814295718,52827,0.9231207031915707,0.8508106041742558,0.08075615868874769,0.42120462786450497,52827,0.9546450618679544,0.9043830028517591,0.07661894371588965,0.3869359739156051,0.9648596388949036,0.8515079422471994,0.6710606430160841,0.8248272627139684,0.6969515861731407,0.8272799982581999,0.5380256482774439,0.8002529518393318,452,0.8057700732358574,0.9884292418496227,1.1272445340708306,0.8429203539823009,0.0022123893805309734
