city,tier,frame,arm,radius_m,vintage,n,median_along_m,q25_along_m,q75_along_m,median_along_over_range,median_range_m
gainesville,0.3000,frozen@a,b1.00,5.0000,2021,1,-0.2021,-0.2021,-0.2021,-0.0267,7.5638
gainesville,0.3000,frozen@a,b1.00,5.0000,2022,21,0.2505,-0.6629,0.9893,0.0439,11.6832
gainesville,0.3000,frozen@a,b1.00,5.0000,2023,31,0.0564,-1.1669,1.0215,0.0082,11.1508
gainesville,0.3000,frozen@a,b1.00,5.0000,2024,61,-0.3579,-0.8536,0.2760,-0.0347,10.8050
gainesville,0.3000,frozen@a,b1.00,5.0000,2025,30,-0.8168,-1.8348,0.0528,-0.0572,11.3622
gainesville,0.3000,frozen@a,b1.00,5.0000,2026,1401,-1.0139,-2.0989,-0.2265,-0.1153,9.3952
gainesville,0.3000,frozen@a,b1.00,5.0000,mixed,1077,-0.4928,-1.1974,0.1427,-0.0414,11.7089
gainesville,0.3000,frozen@b,a,5.0000,2007,1,2.4804,2.4804,2.4804,0.3087,8.0355
gainesville,0.3000,frozen@b,a,5.0000,2011,8,-2.0634,-2.6885,-0.9463,-0.1362,11.8793
gainesville,0.3000,frozen@b,a,5.0000,2014,4,0.0756,-0.8772,0.0756,0.0067,11.3163
gainesville,0.3000,frozen@b,a,5.0000,2015,8,-0.8517,-1.6762,-0.5331,-0.0974,11.9908
gainesville,0.3000,frozen@b,a,5.0000,2017,1,1.2732,1.2732,1.2732,0.0850,14.9842
gainesville,0.3000,frozen@b,a,5.0000,2018,22,-0.4960,-1.1283,-0.0967,-0.0474,10.4741
gainesville,0.3000,frozen@b,a,5.0000,2019,6,1.7944,1.2047,3.3702,0.1546,7.7943
gainesville,0.3000,frozen@b,a,5.0000,2021,2,-0.2267,-0.2267,-0.0373,-0.0282,8.0355
gainesville,0.3000,frozen@b,a,5.0000,2022,19,0.7930,-0.0588,1.4275,0.0618,13.2020
gainesville,0.3000,frozen@b,a,5.0000,2023,29,0.3925,-0.0934,1.5223,0.0396,12.8584
gainesville,0.3000,frozen@b,a,5.0000,2024,55,0.1453,-0.3841,0.7388,0.0135,11.9200
gainesville,0.3000,frozen@b,a,5.0000,2025,22,-0.2748,-1.2024,0.1569,-0.0225,11.4272
gainesville,0.3000,frozen@b,a,5.0000,2026,1277,0.8394,0.0575,1.6452,0.0580,14.9125
gainesville,0.3000,frozen@b,a,5.0000,mixed,1015,0.2998,-0.3277,0.8805,0.0207,14.7579
gainesville,0.3000,frozen@b,b,5.0000,2007,1,1.7003,1.7003,1.7003,0.2343,7.2554
gainesville,0.3000,frozen@b,b,5.0000,2011,8,-2.0634,-2.6885,-0.9463,-0.1362,11.8793
gainesville,0.3000,frozen@b,b,5.0000,2014,4,-0.1255,-0.9227,-0.1255,-0.0205,11.0648
