city,tier,frame,arm,radius_m,n_points,op_sites,sites_scored,sites_dropped,n_pool,median_m,p90_m,mean_m,share_le_3m,own_matched,coverage,own_median_m,own_p90_m,own_mean_m,own_share_le_3m,chance_matched,chance_share
gainesville,0.3000,frozen@c,a,5.0000,3208,7301,7301,0,2642,1.2920,2.9698,1.5346,0.9027,2642,0.8236,1.2920,2.9698,1.5346,0.9027,215,0.0670
gainesville,0.3000,frozen@c,b,5.0000,3208,7301,7301,0,2642,1.1740,2.9830,1.4721,0.9039,2710,0.8448,1.1658,2.8806,1.4177,0.9096,194,0.0605
gainesville,0.3000,frozen@c,c,5.0000,3208,7301,7301,0,2642,1.1267,2.8735,1.4281,0.9088,2709,0.8445,1.1249,2.8424,1.3924,0.9125,203,0.0633
gainesville,0.3000,frozen@c,b1.00,5.0000,3208,7301,7301,0,2642,1.2515,3.1405,1.5702,0.8880,2706,0.8435,1.2275,2.9787,1.4754,0.9021,190,0.0592
gainesville,0.3000,frozen@c,a,8.0000,3208,7301,7301,0,2788,1.3487,3.7026,1.7683,0.8555,2788,0.8691,1.3487,3.7026,1.7683,0.8555,459,0.1431
gainesville,0.3000,frozen@c,b,8.0000,3208,7301,7301,0,2788,1.2197,3.3875,1.6368,0.8691,2804,0.8741,1.1919,3.2561,1.5817,0.8791,439,0.1368
gainesville,0.3000,frozen@c,c,8.0000,3208,7301,7301,0,2788,1.1949,3.3504,1.5981,0.8730,2803,0.8738,1.1669,3.2318,1.5528,0.8819,441,0.1375
gainesville,0.3000,frozen@c,b1.00,8.0000,3208,7301,7301,0,2788,1.2961,3.5251,1.7255,0.8572,2802,0.8734,1.2590,3.3529,1.6398,0.8712,438,0.1365
gainesville,0.3000,own,a,2.5000,3208,8967,,,,,,,,2130,0.6640,1.2409,2.1490,1.2735,1.0000,83,0.0259
gainesville,0.3000,own,a,5.0000,3208,8967,,,,,,,,2677,0.8345,1.5023,3.2883,1.7053,0.8726,284,0.0885
gainesville,0.3000,own,a,8.0000,3208,8967,,,,,,,,2823,0.8800,1.5680,3.8364,1.9297,0.8275,566,0.1764
gainesville,0.3000,own,b,2.5000,3208,7488,,,,,,,,2345,0.7310,1.0517,1.9676,1.1074,1.0000,59,0.0184
gainesville,0.3000,own,b,5.0000,3208,7488,,,,,,,,2717,0.8469,1.1843,2.8626,1.4262,0.9109,197,0.0614
gainesville,0.3000,own,b,8.0000,3208,7488,,,,,,,,2812,0.8766,1.2124,3.2688,1.5871,0.8802,453,0.1412
gainesville,0.3000,own,c,2.5000,3208,7301,,,,,,,,2358,0.7350,1.0182,1.9541,1.0883,1.0000,60,0.0187
gainesville,0.3000,own,c,5.0000,3208,7301,,,,,,,,2709,0.8445,1.1249,2.8424,1.3924,0.9125,203,0.0633
gainesville,0.3000,own,c,8.0000,3208,7301,,,,,,,,2803,0.8738,1.1669,3.2318,1.5528,0.8819,441,0.1375
gainesville,0.3000,own,b1.00,2.5000,3208,7855,,,,,,,,2315,0.7216,1.0823,2.0068,1.1363,1.0000,64,0.0200
gainesville,0.3000,own,b1.00,5.0000,3208,7855,,,,,,,,2718,0.8473,1.2297,2.9876,1.4734,0.8999,200,0.0623
gainesville,0.3000,own,b1.00,8.0000,3208,7855,,,,,,,,2821,0.8794,1.2659,3.3700,1.6481,0.8671,465,0.1450
